run	genotype	biorep
1WT_20_2h_n3_1	WT	b_1
1WT_20_2h_n3_2	WT	b_1
1WT_20_2h_n3_3	WT	b_1
1WT_20_2h_n4_1	WT	b_2
1WT_20_2h_n4_2	WT	b_2
1WT_20_2h_n4_3	WT	b_2
1WT_20_2h_n5_1	WT	b_3
1WT_20_2h_n5_2	WT	b_3
1WT_20_2h_n5_3	WT	b_3
3D8_20_2h_n3_1	KO	b_4
3D8_20_2h_n3_2	KO	b_4
3D8_20_2h_n3_3	KO	b_4
3D8_20_2h_n4_1	KO	b_5
3D8_20_2h_n4_2	KO	b_5
3D8_20_2h_n4_3	KO	b_5
3D8_20_2h_n5_1	KO	b_6
3D8_20_2h_n5_2	KO	b_6
3D8_20_2h_n5_3	KO	b_6
